aud   | {17:06:05.560 b88cb700} - DMP . DBA: _CnxPool->Pool[0]->State = CNXS_FREE cnx=<0x18ae270>
aud   | {17:08:05.560 b88cb700} - DMP . DBA: [DBA_AllocCnx] Alocando _CnxPool->Pool[0] cnx=<0x18ae270>
aud   | {17:08:05.560 b88cb700} - DMP . OCICNX: OCIStmtExecute cnx=<0x18ae270> query=<SELECT HeaderNsuLog,HeaderSequenciaAlteracaoLOG,CodTransacao,StatusTransacao,CodResposta,DadoOrig_DtTransacaoMMDD,DadoOrig_NsuFepas,CodProcessamento,ValorTransacao,DtHrTransacaoGmtMMDDHHMMSS,NsuModulo,HrTransacaoHHMMSS,DtTransacaoMMDD,CodRedeCaptura,NsuRedeCaptura,CodAutorizacao,CodTerminal,CodEstabelecimento,NsuAutorizador,CartaoCripto,CartaoCriptoRand,NroCartaoMask,DtValidade,TipoMensagem,DtTrnFepas,HrTrnFepas,VersaoParametros,AnoTransacaoAAAA,CanalEntrada,QuantParce
aud   | {17:08:05.560 b8133700} - DMP . OCICNX: ThreadTimeout() iniciou para cnx=<0x18ae270>
aud   | {17:08:05.564 b88cb700} - DMP . OCICNX: Finalizou OCIStmtExecute cnx=<0x18ae270>
aud   | {17:08:05.564 b8133700} - DMP . OCICNX: ThreadTimeout()::SE_SemaphoreP()::rcse=<0/SE_SUCCESS> cnx=<0x18ae270>
aud   | {17:08:05.564 b8133700} - DMP . OCICNX: ThreadTimeout() finalizou para cnx=<0x18ae270>
aud   | {17:08:05.564 b88cb700} - DMP . OCICNX: Fim FinalizaTimeout cnx=<0x18ae270>
aud   | {17:08:05.564 b88cb700} - DMP . DBA: _CnxPool->Pool[0]->State = CNXS_FREE cnx=<0x18ae270>
aud   | {17:10:05.564 b88cb700} - DMP . DBA: [DBA_AllocCnx] Alocando _CnxPool->Pool[0] cnx=<0x18ae270>
aud   | {17:10:05.565 b88cb700} - DMP . OCICNX: OCIStmtExecute cnx=<0x18ae270> query=<SELECT HeaderNsuLog,HeaderSequenciaAlteracaoLOG,CodTransacao,StatusTransacao,CodResposta,DadoOrig_DtTransacaoMMDD,DadoOrig_NsuFepas,CodProcessamento,ValorTransacao,DtHrTransacaoGmtMMDDHHMMSS,NsuModulo,HrTransacaoHHMMSS,DtTransacaoMMDD,CodRedeCaptura,NsuRedeCaptura,CodAutorizacao,CodTerminal,CodEstabelecimento,NsuAutorizador,CartaoCripto,CartaoCriptoRand,NroCartaoMask,DtValidade,TipoMensagem,DtTrnFepas,HrTrnFepas,VersaoParametros,AnoTransacaoAAAA,CanalEntrada,QuantParce
aud   | {17:10:05.565 b8133700} - DMP . OCICNX: ThreadTimeout() iniciou para cnx=<0x18ae270>
aud   | {17:10:05.568 b88cb700} - DMP . OCICNX: Finalizou OCIStmtExecute cnx=<0x18ae270>
aud   | {17:10:05.568 b8133700} - DMP . OCICNX: ThreadTimeout()::SE_SemaphoreP()::rcse=<0/SE_SUCCESS> cnx=<0x18ae270>
aud   | {17:10:05.568 b8133700} - DMP . OCICNX: ThreadTimeout() finalizou para cnx=<0x18ae270>
aud   | {17:10:05.568 b88cb700} - DMP . OCICNX: Fim FinalizaTimeout cnx=<0x18ae270>
aud   | {17:10:05.568 b88cb700} - DMP . DBA: _CnxPool->Pool[0]->State = CNXS_FREE cnx=<0x18ae270>
aud   | {17:12:05.568 b88cb700} - DMP . DBA: [DBA_AllocCnx] Alocando _CnxPool->Pool[0] cnx=<0x18ae270>
aud   | {17:12:05.569 b88cb700} - DMP . OCICNX: OCIStmtExecute cnx=<0x18ae270> query=<SELECT HeaderNsuLog,HeaderSequenciaAlteracaoLOG,CodTransacao,StatusTransacao,CodResposta,DadoOrig_DtTransacaoMMDD,DadoOrig_NsuFepas,CodProcessamento,ValorTransacao,DtHrTransacaoGmtMMDDHHMMSS,NsuModulo,HrTransacaoHHMMSS,DtTransacaoMMDD,CodRedeCaptura,NsuRedeCaptura,CodAutorizacao,CodTerminal,CodEstabelecimento,NsuAutorizador,CartaoCripto,CartaoCriptoRand,NroCartaoMask,DtValidade,TipoMensagem,DtTrnFepas,HrTrnFepas,VersaoParametros,AnoTransacaoAAAA,CanalEntrada,QuantParce
aud   | {17:12:05.569 b8133700} - DMP . OCICNX: ThreadTimeout() iniciou para cnx=<0x18ae270>
aud   | {17:12:05.577 b88cb700} - DMP . OCICNX: Finalizou OCIStmtExecute cnx=<0x18ae270>
aud   | {17:12:05.577 b8133700} - DMP . OCICNX: ThreadTimeout()::SE_SemaphoreP()::rcse=<0/SE_SUCCESS> cnx=<0x18ae270>
aud   | {17:12:05.577 b8133700} - DMP . OCICNX: ThreadTimeout() finalizou para cnx=<0x18ae270>
aud   | {17:12:05.577 b88cb700} - DMP . OCICNX: Fim FinalizaTimeout cnx=<0x18ae270>
aud   | {17:12:05.578 b88cb700} - DMP . DBA: _CnxPool->Pool[0]->State = CNXS_FREE cnx=<0x18ae270>
aud   | {17:14:05.578 b88cb700} - DMP . DBA: [DBA_AllocCnx] Alocando _CnxPool->Pool[0] cnx=<0x18ae270>
aud   | {17:14:05.579 b88cb700} - DMP . OCICNX: OCIStmtExecute cnx=<0x18ae270> query=<SELECT HeaderNsuLog,HeaderSequenciaAlteracaoLOG,CodTransacao,StatusTransacao,CodResposta,DadoOrig_DtTransacaoMMDD,DadoOrig_NsuFepas,CodProcessamento,ValorTransacao,DtHrTransacaoGmtMMDDHHMMSS,NsuModulo,HrTransacaoHHMMSS,DtTransacaoMMDD,CodRedeCaptura,NsuRedeCaptura,CodAutorizacao,CodTerminal,CodEstabelecimento,NsuAutorizador,CartaoCripto,CartaoCriptoRand,NroCartaoMask,DtValidade,TipoMensagem,DtTrnFepas,HrTrnFepas,VersaoParametros,AnoTransacaoAAAA,CanalEntrada,QuantParce
aud   | {17:14:05.579 b8133700} - DMP . OCICNX: ThreadTimeout() iniciou para cnx=<0x18ae270>
aud   | {17:14:05.581 b88cb700} - DMP . OCICNX: Finalizou OCIStmtExecute cnx=<0x18ae270>
aud   | {17:14:05.581 b8133700} - DMP . OCICNX: ThreadTimeout()::SE_SemaphoreP()::rcse=<0/SE_SUCCESS> cnx=<0x18ae270>
aud   | {17:14:05.581 b8133700} - DMP . OCICNX: ThreadTimeout() finalizou para cnx=<0x18ae270>
aud   | {17:14:05.581 b88cb700} - DMP . OCICNX: Fim FinalizaTimeout cnx=<0x18ae270>
aud   | {17:14:05.582 b88cb700} - DMP . DBA: _CnxPool->Pool[0]->State = CNXS_FREE cnx=<0x18ae270>
aud   | {17:16:05.582 b88cb700} - DMP . DBA: [DBA_AllocCnx] Alocando _CnxPool->Pool[0] cnx=<0x18ae270>
aud   | {17:16:05.582 b88cb700} - DMP . OCICNX: OCIStmtExecute cnx=<0x18ae270> query=<SELECT HeaderNsuLog,HeaderSequenciaAlteracaoLOG,CodTransacao,StatusTransacao,CodResposta,DadoOrig_DtTransacaoMMDD,DadoOrig_NsuFepas,CodProcessamento,ValorTransacao,DtHrTransacaoGmtMMDDHHMMSS,NsuModulo,HrTransacaoHHMMSS,DtTransacaoMMDD,CodRedeCaptura,NsuRedeCaptura,CodAutorizacao,CodTerminal,CodEstabelecimento,NsuAutorizador,CartaoCripto,CartaoCriptoRand,NroCartaoMask,DtValidade,TipoMensagem,DtTrnFepas,HrTrnFepas,VersaoParametros,AnoTransacaoAAAA,CanalEntrada,QuantParce
aud   | {17:16:05.582 b8133700} - DMP . OCICNX: ThreadTimeout() iniciou para cnx=<0x18ae270>
aud   | {17:16:05.585 b88cb700} - DMP . OCICNX: Finalizou OCIStmtExecute cnx=<0x18ae270>
aud   | {17:16:05.585 b8133700} - DMP . OCICNX: ThreadTimeout()::SE_SemaphoreP()::rcse=<0/SE_SUCCESS> cnx=<0x18ae270>
aud   | {17:16:05.585 b8133700} - DMP . OCICNX: ThreadTimeout() finalizou para cnx=<0x18ae270>
aud   | {17:16:05.585 b88cb700} - DMP . OCICNX: Fim FinalizaTimeout cnx=<0x18ae270>
aud   | {17:16:05.586 b88cb700} - DMP . DBA: _CnxPool->Pool[0]->State = CNXS_FREE cnx=<0x18ae270>
aud   | {17:18:05.586 b88cb700} - DMP . DBA: [DBA_AllocCnx] Alocando _CnxPool->Pool[0] cnx=<0x18ae270>
aud   | {17:18:05.586 b88cb700} - DMP . OCICNX: OCIStmtExecute cnx=<0x18ae270> query=<SELECT HeaderNsuLog,HeaderSequenciaAlteracaoLOG,CodTransacao,StatusTransacao,CodResposta,DadoOrig_DtTransacaoMMDD,DadoOrig_NsuFepas,CodProcessamento,ValorTransacao,DtHrTransacaoGmtMMDDHHMMSS,NsuModulo,HrTransacaoHHMMSS,DtTransacaoMMDD,CodRedeCaptura,NsuRedeCaptura,CodAutorizacao,CodTerminal,CodEstabelecimento,NsuAutorizador,CartaoCripto,CartaoCriptoRand,NroCartaoMask,DtValidade,TipoMensagem,DtTrnFepas,HrTrnFepas,VersaoParametros,AnoTransacaoAAAA,CanalEntrada,QuantParce
aud   | {17:18:05.586 b8133700} - DMP . OCICNX: ThreadTimeout() iniciou para cnx=<0x18ae270>
aud   | {17:18:05.588 b88cb700} - DMP . OCICNX: Finalizou OCIStmtExecute cnx=<0x18ae270>
aud   | {17:18:05.589 b8133700} - DMP . OCICNX: ThreadTimeout()::SE_SemaphoreP()::rcse=<0/SE_SUCCESS> cnx=<0x18ae270>
aud   | {17:18:05.589 b8133700} - DMP . OCICNX: ThreadTimeout() finalizou para cnx=<0x18ae270>
aud   | {17:18:05.589 b88cb700} - DMP . OCICNX: Fim FinalizaTimeout cnx=<0x18ae270>
aud   | {17:18:05.589 b88cb700} - DMP . DBA: _CnxPool->Pool[0]->State = CNXS_FREE cnx=<0x18ae270>
aud   | {17:20:05.590 b88cb700} - DMP . DBA: [DBA_AllocCnx] Alocando _CnxPool->Pool[0] cnx=<0x18ae270>
